Year,Capital...trill.,Gross.Output...trill.,Output.per.capita...thous.cap.,Investment...trill.,Net.Output...trill.,Population..million.,Consumption,Per.capita.consumption...thousand.,per.capita.consumption.growth,ramsey.discount.rate_0.01prtp,ramsey.discount.factor_0.01prtp,marginal_damages,net.present.value_marginal.damages_0.01prtp,ramsey.discount.rate_0prtp,ramsey.discount.factor_0prtp,net.present.value_marginal.damages_0prtp,ramsey.discount.rate_0.03prtp,ramsey.discount.factor_0.03prtp,net.present.value_marginal.damages_0.03prtp,npv_marginal.damages_0.03constant.discount.rate,npv_marginal.damages_0.025constant.discount.rate,npv_marginal.damages_0.05constant.discount.rate,base.emissions,emissions_additional.ton.carbon,temp.increase_0.5climate.sensitivity,damages_0.5climate.sensitivity,damages_0.5climate.sensitivity_dollars,temp.increase_additional.ton.carbon_0.5climate.sensitivity,damages_additional.ton.carbon_0.5climate.sensitivity,damages_additional.ton.carbon_0.5climate.sensitivity_dollars,marginal.damages_additional.ton.carbon_0.5climate.sensitivity_dollars,discount.factor_0.03discount.rate,discount.factor_0.025discount.rate,discount.factor_0.05discount.rate,net.present.value_marginal.damages_additional.ton.carbon_0.5climate.sensitivity_0.03discount.rate_dollars,net.present.value_marginal.damages_additional.ton.CO2_0.5climate.sensitivity_0.03discount.rate_dollars,net.present.value_marginal.damages_additional.ton.carbon_0.5climate.sensitivity_0.025discount.rate_dollars,net.present.value_marginal.damages_additional.ton.CO2_0.5climate.sensitivity_0.025discount.rate_dollars,net.present.value_marginal.damages_additional.ton.carbon_0.5climate.sensitivity_0.05discount.rate_dollars,net.present.value_marginal.damages_additional.ton.CO2_0.5climate.sensitivity_0.05discount.rate_dollars,net.present.value_marginal.damages_additional.ton.carbon_0.5climate.sensitivity_0.01prtp_dollars,net.present.value_marginal.damages_additional.ton.CO2_0.5climate.sensitivity_0.01prtp_dollars,net.present.value_marginal.damages_additional.ton.carbon_0.5climate.sensitivity_0prtp_dollars,net.present.value_marginal.damages_additional.ton.CO2_0.5climate.sensitivity_0prtp_dollars,net.present.value_marginal.damages_additional.ton.carbon_0.5climate.sensitivity_0.03prtp_dollars,net.present.value_marginal.damages_additional.ton.CO2_0.5climate.sensitivity_0.03prtp_dollars,temp.increase_1.2climate.sensitivity,damages_1.2climate.sensitivity,damages_1.2climate.sensitivity_dollars,temp.increase_additional.ton.carbon_1.2climate.sensitivity,damages_additional.ton.carbon_1.2climate.sensitivity,damages_additional.ton.carbon_1.2climate.sensitivity_dollars,marginal.damages_additional.ton.carbon_1.2climate.sensitivity_dollars,net.present.value_marginal.damages_additional.ton.carbon_1.2climate.sensitivity_0.03discount.rate_dollars,net.present.value_marginal.damages_additional.ton.CO2_1.2climate.sensitivity_0.03discount.rate_dollars,net.present.value_marginal.damages_additional.ton.carbon_1.2climate.sensitivity_0.025discount.rate_dollars,net.present.value_marginal.damages_additional.ton.CO2_1.2climate.sensitivity_0.025discount.rate_dollars,net.present.value_marginal.damages_additional.ton.carbon_1.2climate.sensitivity_0.05discount.rate_dollars,net.present.value_marginal.damages_additional.ton.CO2_1.2climate.sensitivity_0.05discount.rate_dollars,net.present.value_marginal.damages_additional.ton.carbon_1.2climate.sensitivity_0.01prtp_dollars,net.present.value_marginal.damages_additional.ton.CO2_1.2climate.sensitivity_0.01prtp_dollars,net.present.value_marginal.damages_additional.ton.carbon_1.2climate.sensitivity_0prtp_dollars,net.present.value_marginal.damages_additional.ton.CO2_1.2climate.sensitivity_0prtp_dollars,net.present.value_marginal.damages_additional.ton.carbon_1.2climate.sensitivity_0.03prtp_dollars,net.present.value_marginal.damages_additional.ton.CO2_1.2climate.sensitivity_0.03prtp_dollars
2010,139.65,58.974936057092,8.54709218218725,12.9495749195697,58.8617041798624,6900,45.9121292602927,6.65393177685401,0,0.01,1,0,0,0,1,0,0.03,1,0,0,0,0,7676.71759011066,7676.71759011066,0.8,0.00192,113231877229.617,0.8,0.00192,113231877229.617,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.00192,113231877229.617,0.8,0.00192,113231877229.617,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,138.63457491957,60.2364111634207,8.61926293752712,13.2253388245543,60.1151764752467,6988.58029973299,46.8898376506924,6.70949400874508,0.00835028577905557,0.0183502857790556,0.98198037940843,0.00644181677697278,0.00632573768273132,0.00835028577905557,0.991718864072514,0.00638847121662271,0.0383502857790556,0.963066138369402,0.0062038956074824,0.00625419104560464,0.00628469929460759,0.00613506359711694,7778.45837041166,7778.45837141166,0.807375957794768,0.00195556781167506,117796386762.01,0.807375957794818,0.0019555678116753,117796386762.024,0.0145721435546875,0.970873786407767,0.975609756097561,0.952380952380952,0.014147712189017,0.003858466960641,0.0142167254192073,0.0038772887506929,0.0138782319568452,0.00378497235186688,0.0143095590566261,0.00390260701544349,0.0144514696531563,0.00394130990540626,0.0140339380209775,0.00382743764208476,0.834671995677141,0.00209003202110298,125896028167.874,0.834671995677261,0.00209003202110358,125896028167.911,0.0361785888671875,0.0351248435603762,0.00957950278919351,0.0352961842606707,0.00962623207109202,0.034455798921131,0.00939703606939935,0.0355266644222624,0.00968909029698065,0.0358789890551137,0.00978517883321282,0.0348423738719765,0.00950246560144814
2012,137.996456252167,61.5240921108469,8.69366283557989,13.5067755953994,61.3944345245426,7076.88960043998,47.8876589291432,6.76676642322723,0.00853602587728701,0.018536025877287,0.964109618570074,0.0129517608759112,0.0124869172378855,0.00853602587728701,0.983325174933494,0.0127357925290022,0.038536025877287,0.927330505993634,0.0120105629665673,0.0122082768177125,0.0123276724577382,0.0117476289123911,7879.33743463828,7879.33743463828,0.814814453469623,0.001991767780749,122541704406.219,0.814814453469719,0.00199176778074947,122541704406.248,0.0288543701171875,0.942595909133754,0.951814396192742,0.90702947845805,0.0271980112330922,0.00741763942720696,0.0274640048706127,0.00749018314653074,0.0261717642786281,0.0071377538941713,0.0278187757677614,0.0075869388457531,0.0283732285430792,0.00773815323902159,0.0267575376408991,0.00729751026569974,0.869236965645736,0.00226671870733502,139457810539.46,0.869236965645967,0.00226671870733622,139457810539.534,0.07391357421875,0.0696706326880479,0.0190010816421949,0.070352004015467,0.0191869101860364,0.0670417906746032,0.0182841247294372,0.0712607878471899,0.0194347603219609,0.0726810782986121,0.0198221122632579,0.0685423121800714,0.0186933578672922
2013,137.70358622235,62.8382802305781,8.77032303461227,13.793947873211,62.6997630600499,7164.87636573766,48.9058151868389,6.82577237769319,0.00871996324025902,0.018719963240259,0.946393173157729,0.0195903899163403,0.0185402112763224,0.00871996324025902,0.974824739043341,0.0190971967379537,0.038719963240259,0.892762764567315,0.0174895706606636,0.017927981935415,0.0181916245360018,0.0169229153796266,7979.1422734779,7979.1422734779,0.822315344213491,0.00202860757598685,127474211337.736,0.822315344213629,0.00202860757598754,127474211337.779,0.043060302734375,0.91514165935316,0.928599410919749,0.863837598531476,0.0394062768965853,0.0107471664263415,0.0399857717531667,0.0109052104781364,0.0371971085061008,0.0101446659562093,0.0407519765419176,0.011114175420523,0.0419762483761644,0.0114480677389539,0.0384426349122461,0.0104843549760671,0.903698462865584,0.00245001273535686,153954586832.839,0.903698462865917,0.00245001273535867,153954586832.953,0.113677978515625,0.104031453890702,0.0283722146974642,0.105561303884157,0.0287894465138611,0.0981993119668502,0.0267816305364137,0.107584062805558,0.0293411080378796,0.110816105741469,0.0302225742931278,0.101487466370033,0.0276783999191
2014,137.727175473326,64.179267903761,8.84927547479098,14.0869162321974,64.0314374190792,7252.48841971178,49.9445211868818,6.88653580626698,0.0089020590215352,0.0189020590215352,0.928836255436133,0.026418261517785,0.0245382391033119,0.0089020590215352,0.966223361649947,0.0255259414526616,0.0389020590215352,0.859332943673384,0.0227020824368114,0.0234722831870014,0.0239336410565259,0.0217343691303808,8077.65956976056,8077.65956976056,0.829878405659791,0.00206609450454131,132600432721.445,0.82987840565997,0.0020660945045422,132600432721.502,0.057403564453125,0.888487047915689,0.905950644799755,0.822702474791882,0.051002323520795,0.0139097245965805,0.0520047962301129,0.0141831262445762,0.0472260545374612,0.0128798330556712,0.0533185118553273,0.0145414123241802,0.0554646650165878,0.0151267268227058,0.0493287740188487,0.0134533020051406,0.938059785537414,0.0026398684837275,169424826647.842,0.938059785537845,0.00263986848372992,169424826647.998,0.155670166015625,0.138310926251768,0.0377211617050276,0.14102948727794,0.0384625874394383,0.128070230832318,0.0349282447724503,0.144592094085074,0.0394342074777475,0.150412151116223,0.0410214957589698,0.133772502004331,0.0364834096375449
2015,138.041374158191,65.5473358848244,8.93055261318389,14.3857385939362,65.3897208815281,7339.67299941316,51.0039822875919,6.94908101378221,0.0090822453080563,0.0190822453080563,0.911443860112936,0.0334807938948891,0.0305158640272033,0.0090822453080563,0.957526867748005,0.0320587597078897,0.0390822453080563,0.827011478209424,0.0276890008506373,0.028880826921887,0.0295921432365683,0.026233078090783,8174.67554170266,8174.67554170266,0.837503324907804,0.00210423545769488,137927028326.283,0.837503324908021,0.00210423545769597,137927028326.355,0.07177734375,0.862608784384164,0.883854287609517,0.783526166468459,0.0619157672385118,0.0168861183377759,0.0634407130266597,0.0173020126436345,0.0562394269877263,0.0153380255421072,0.0654210192561531,0.017842096160769,0.0687287351362093,0.0187442004916934,0.0593606871566335,0.0161892783154455,0.972323961248494,0.00283624165685389,185908084532.333,0.972323961249017,0.00283624165685694,185908084532.533,0.2000732421875,0.172584936231158,0.0470686189721339,0.176835592943359,0.0482278889845525,0.156762620464087,0.0427534419447511,0.182355528164685,0.049733325863096,0.191575504911985,0.0522478649759959,0.165462867771637,0.0451262366649918
2016,138.622975336308,66.9427530160135,9.01418750169682,14.6904701670459,66.774864395663,7426.37680915915,52.0843942286171,7.01343273672568,0.00926046520623965,0.0192604652062396,0.894220752424173,0.0407552779403307,0.0364442153050589,0.00926046520623965,0.948741083950353,0.0386662065698073,0.0392604652062396,0.795769208872297,0.0324317952839476,0.0341319036517936,0.0351431484392965,0.0304122158932799,8269.97685146916,8269.97685146916,0.845189694730409,0.00214303686023545,143460787238.954,0.845189694730663,0.00214303686023674,143460787239.041,0.08642578125,0.837484256683654,0.862296865960505,0.746215396636627,0.0723802311684603,0.0197400630459437,0.0745246803100632,0.0203249128118354,0.0644922486350991,0.0175887950822998,0.077283727138222,0.021077380128606,0.0819956893843811,0.0223624607411948,0.0687749755714827,0.0187568115194953,1.00649373395199,0.00303908890945387,203444978259.277,1.0064937339526,0.00303908890945756,203444978259.524,0.246978759765625,0.206840823038965,0.0564111335560814,0.212969010504711,0.0580824574103757,0.184299353179328,0.0502634599579986,0.220853532390406,0.0602327815610199,0.234318896252753,0.063905153523478,0.196538092266952,0.053601297890987
2017,139.451147969723,68.3657760835376,9.10021387929549,15.0011634183143,68.1871064468833,7512.54607752475,53.1859430285689,7.07961621529152,0.00943667402971895,0.019436674029719,0.877171456751128,0.0483174106785162,0.0423826535113165,0.00943667402971895,0.939871819955712,0.0454121727099645,0.039436674029719,0.765577383167784,0.0369907168287016,0.0392864764727922,0.040647757853084,0.0343382816894512,8363.35154498587,8363.35154498587,0.852937008701034,0.0021825046224356,149208622318.718,0.852937008701324,0.00218250462243709,149208622318.82,0.101287841796875,0.813091511343354,0.841265235083419,0.710681330130121,0.0823562843673276,0.022460804827453,0.0852099400403402,0.0232390745564564,0.0719833781342124,0.0196318304002398,0.0888468037401426,0.0242309464745843,0.0951975882090151,0.0259629786024587,0.077543680869564,0.0211482766007902,1.04057155313908,0.00324836747160686,222077163200.922,1.04057155313978,0.0032483674716112,222077163201.218,0.296661376953125,0.241212847344017,0.0657853220029136,0.249570903022642,0.0680647917334477,0.21083170197128,0.0574995550830764,0.260222892183768,0.0709698796864822,0.278823668267501,0.0760428186184093,0.227117240654725,0.0619410656331068
2018,140.507196591065,69.8166497666375,9.18866627249079,15.3178680645971,69.6266730208961,7598.12661557379,54.3088049562989,7.14765727185736,0.00961083969762029,0.0196108396976203,0.860300246524709,0.056174761811886,0.0483271614352324,0.00961083969762029,0.930924850447529,0.0522944817386556,0.0396108396976203,0.736407657494663,0.0413675247562116,0.0443448757096887,0.0461052431233477,0.0380212899468704,8454.59000608184,8454.59000608184,0.860744657083485,0.0022226440940933,155177564273.197,0.860744657083808,0.00222264409409497,155177564273.314,0.116424560546875,0.789409234313936,0.820746570813092,0.676839362028687,0.091906623196645,0.0250654426899941,0.0955550588272689,0.0260604705892552,0.0788007252850171,0.0214911068959138,0.100160078140007,0.0273163849472748,0.108382516615519,0.0295588681678688,0.0857359379071697,0.0233825285201372,1.07455956482884,0.00346403477509542,241847302672.29,1.07455956482961,0.00346403477510042,241847302672.639,0.348876953125,0.275406688436185,0.0751109150280505,0.286339562913064,0.0780926080671992,0.236133654379637,0.0644000875580829,0.300138928780227,0.0818560714855164,0.32477822541248,0.0885758796579492,0.256915659804656,0.0700679072194517
2019,141.774344996555,71.2956067143399,9.27958010718151,15.6406310931134,71.0937776959699,7683.06387690579,55.4531466028565,7.21758239828526,0.0097829433852708,0.0197829433852708,0.843611135197905,0.0642667737209153,0.0542161659342082,0.0097829433852708,0.921905897248203,0.0592479176904277,0.0397829433852708,0.708232099958387,0.0455157921099143,0.0492551307134512,0.0514602284377192,0.0414269353570536,8543.48592346893,8543.48592346893,0.868611923394484,0.0022634600203892,161374755427.3,0.868611923394839,0.00226346002039105,161374755427.432,0.1318359375,0.766416732343627,0.80072836176887,0.644608916217797,0.101041268424209,0.0275567095702387,0.105564774256638,0.0287903929790831,0.0849826207904322,0.0231770783973906,0.111218264894255,0.0303322540620695,0.121540328250496,0.0331473622501351,0.0933704428656076,0.0254646662360748,1.10845960415965,0.00368604808216132,262799034395.92,1.1084596041605,0.00368604808216698,262799034396.324,0.403900146484375,0.309555830461667,0.0844243173986364,0.32341430261264,0.0882039007125383,0.260357635685502,0.0710066279142279,0.340734661082284,0.0929276348406228,0.372357926943358,0.101552161893643,0.286055048918129,0.0780150133413079
