year,population.growth.rate,per.capita.income.growth.rate,energy.intensity.growth.rate,emission.intensity.growth.rate,land.use.emissions,abatement.cost.function.coefficient,population,per.capita.income,energy.intensity,carbon.intensity,kaya.emissions,bau.emissions,carbon.cycle.from.bau.emissions,kaya.emissions.constant.population,kaya.emissions.constant.per.capita.output,kaya.emissions.constant.energy.intensity,kaya.emissions.constant.emission.intensity,total.emissions.constant.population,total.emissions.constant.per.capita.output,total.emissions.constant.energy.intensity,total.emissions.constant.emission.intensity,temp.increase.bau,temp.increase.constant.population,temp.increase.constant.per.capita.output,temp.increase.constant.energy.intensity,temp.increase.constant.emission.intensity,policy.cost.bau,emissions.control.rate.2030.mitigation,controlled.emissions.from.2030,temp.increase.carbon.mitigation.2030,policy.cost.carbon.mitigation.2030,emissions.control.rate.2010.mitigation,controlled.emissions.from.2010,temp.increase.carbon.mitigation.2010,policy.cost.carbon.mitigation.2010
2010,0.0128377245989839,0.00849821774783432,-0.00673044109155996,-0.000987560723291314,1110,0.0511540239113897,6.9e+09,8500,5.98e-12,18.62,6530.53674,7640.53674,379.329,6530.53674,6530.53674,6530.53674,6530.53674,7640.53674,7640.53674,7640.53674,7640.53674,0.8,0.8,0.8,0.8,0.8,0,0,7640.53674,0.8,0,0,7640.53674,0.8,0
2011,0.0126362289505877,0.00868660785763731,-0.00707977403465121,-0.00092880236470938,1123,0.049643160780144,6988580299.73299,8572.23485085659,5.93975196227247e-12,18.6016116193323,6619.14511771889,7742.14511771889,381.35799515046,6535.24741126682,6563.36818571745,6663.99675531488,6625.68838733499,7658.24741126682,7686.36818571745,7786.99675531488,7748.68838733499,0.819071357591591,0.819064651995693,0.819066899649882,0.819074942112657,0.819071880538861,0,0,7742.14511771889,0.819071357591591,0,0.0111111111111111,7656.12128307757,0.819064482054071,1.00337533089243e-05
2012,0.0124329713003022,0.00887308173479884,-0.00744103239867933,-0.000875833764397926,1136,0.0491234156757569,7076889600.43998,8646.69849346956,5.89769986055771e-12,18.5843343984729,6706.90901404786,7842.90901404786,383.407283616575,6539.26722186723,6593.12067634402,6800.50135684821,6719.78038943558,7675.26722186723,7729.12067634402,7936.50135684821,7855.78038943558,0.838129915552805,0.838103702561933,0.838112303565709,0.838144241918487,0.838131943501823,0,0,7842.90901404786,0.838129915552805,0,0.0222222222222222,7668.62214706902,0.838102847603892,7.06295199460002e-05
2013,0.0122279924316735,0.00905761811769934,-0.00781384071070224,-0.000828072343892261,1149,0.0485943063653102,7164876365.73766,8723.42135593827,5.85381488481761e-12,18.5680576109178,6793.61623709998,7942.61623709998,385.476088387731,6542.46488608652,6619.62040570707,6940.05975542967,6812.62073747674,7691.46488608652,7768.62040570707,8089.05975542967,7961.62073747674,0.857177298478551,0.857113166986603,0.857133753106347,0.85721314014801,0.857182221804479,0,0,7942.61623709998,0.857177298478551,0,0.0333333333333333,7677.86236252998,0.857110602531709,0.00022209635195335
2014,0.0120213331833001,0.00924016655849691,-0.00819779759576733,-0.000784991855371175,1162,0.0480554379323453,7252488419.71178,8802.43477526014,5.80807410775771e-12,18.5526819159304,6879.05382357405,8041.05382357405,387.563630004725,6544.71522541877,6642.70272864946,7082.68198748144,6904.01435088287,7706.71522541877,7804.70272864946,8244.68198748144,8066.01435088287,0.876214942991715,0.876089282639175,0.876128718879535,0.87628676804718,0.876224518464398,0,0,8041.05382357405,0.876214942991715,0,0.0444444444444444,7683.67365363743,0.876083319357649,0.00050202038030221
2015,0.0118130344162366,0.00942068694200748,-0.0085924752634573,-0.000746084545208081,1175,0.047506499855487,7339672999.41316,8883.77073870385,5.76046069180109e-12,18.5381182117311,6963.00838830507,8138.00838830507,389.669097735431,6545.89896350238,6662.21281946637,7228.37849086083,6993.76359075084,7720.89896350238,7837.21281946637,8403.37849086083,8168.76359075084,0.895244098525066,0.895028460685282,0.895094580365007,0.895370171043804,0.895260413613415,0,0,8138.00838830507,0.895244098525066,0,0.0555555555555556,7685.89681117701,0.895016596510004,0.000946812697364589
2016,0.0116031371124785,0.00959915023300661,-0.00899742236872625,-0.000710861719215194,1188,0.0469472648423897,7426376809.15915,8967.46196169775,5.71096407580067e-12,18.5242872082361,7045.26703235529,8233.26703235528,391.79163295276,6545.90303892156,6678.00655645963,7377.1601947221,7081.6690903027,7733.90303892156,7866.00655645963,8565.1601947221,8269.6690903027,0.914265825468634,0.913927252123897,0.914028613018111,0.914468322106018,0.914291267180275,0,0,8233.26703235528,0.914265825468634,0,0.0666666666666667,7684.3825635316,0.91390603114937,0.00159221347220615
2017,0.0113916822826647,0.00977553856054159,-0.00941216686049751,-0.00067885465462969,1201,0.0463775873101806,7512546077.52475,9053.54197627686,5.65958011987807e-12,18.511119001584,7125.61827902896,8326.61827902896,393.930320050112,6544.62090720373,6689.95135058222,7529.03862230529,7167.53062546708,7745.62090720373,7890.95135058222,8730.03862230529,8368.53062546708,0.933280992047279,0.932782322952808,0.93292798031676,0.933586128925642,0.933318219178065,0,0,8326.61827902896,0.933280992047279,0,0.0777777777777778,7678.99241288226,0.932747200666482,0.00247348513974729
2018,0.011178710967767,0.00994984566960544,-0.00983621880640251,-0.000649614896506834,1214,0.0457974014912272,7598126615.57379,9142.04522497543,5.60631120742943e-12,18.4985526422874,7203.85302155087,8417.85302155087,396.084182059914,6541.9528212149,6697.92690544767,7684.02599766247,7251.14801439356,7755.9528212149,7911.92690544767,8898.02599766247,8465.14801439356,0.952290270759883,0.951590435305307,0.951789729207014,0.952728437423128,0.952342188777468,0,0,8417.85302155087,0.952290270759883,0,0.0888888888888889,7669.59941963524,0.951535649894429,0.00362546457635196
2019,0.0109642642237457,0.0101220773223367,-0.0102690731795334,-0.00062271435939365,1227,0.0452067191934949,7683063876.90579,9233.00716406849,5.55116630369636e-12,18.4865357069272,7279.76548151302,8506.76548151302,398.252179255724,6537.80609236184,6701.82590496272,7842.13536360106,7332.32204317114,7764.80609236184,7928.82590496272,9069.13536360106,8559.32204317114,0.971294134888458,0.970348432630441,0.970610787999749,0.971900033083523,0.971363872890905,0,0,8506.76548151302,0.971294134888458,0,0.1,7656.08893336172,0.97026688223348,0.00508253767279152
2020,0.0107483831314681,0.010292251848028,-0.0107102125969261,-0.000597745086039381,1240,0.0446056272284698,7767303019.3001,9326.46437650088,5.49416097069194e-12,18.475023875687,7353.15417067634,8593.15417067634,400.433209691386,6532.09532981997,6701.55462215988,8003.38071185174,7410.85541102729,7772.09532981997,7941.55462215988,9243.38071185174,8650.85541102729,0.990292855388816,0.989053227731212,0.989387966129426,0.991105641036988,0.99038374471602,0,0,8593.15417067634,0.990292855388816,0,0.111111111111111,7638.35926282341,0.988936353583844,0.00687856599200277
2021,0.0111694319266449,0.0108613091816225,-0.0110313183365625,-0.000470404023658166,1235,0.0439942845301608,7850788968.04975,9422.45469671549,5.4353173386541e-12,18.4639805209509,7423.82285148561,8658.82285148561,402.617651039093,6524.74265754918,6697.03344497099,8167.7771298036,7486.55368964521,7759.74265754918,7932.03344497099,9402.7771298036,8721.55368964521,1.00928513574033,1.00770042264247,1.00811658694636,1.01034856833831,1.00940069045163,0,0,8658.82285148561,1.00928513574033,0,0.122222222222222,7600.52228074848,1.00753826472446,0.0090467817409709
2022,0.0115924826864324,0.0114391527149325,-0.0113612698939465,-0.000343735989136063,1230,0.0433830344927672,7938477820.99883,9524.79489042635,5.37535862283117e-12,18.4552949902211,7501.0369248393,8731.0369248393,404.809222079646,6519.78325674519,6693.98287255717,8344.78291736999,7567.98022543203,7749.78325674519,7923.98287255717,9574.78291736999,8797.98022543203,1.02827030669345,1.02628610093381,1.02679241600103,1.02963289230588,1.02841415162,0,0,8731.0369248393,1.02827030669345,0,0.133333333333333,7566.89866819406,1.02606751861584,0.0116343267456555
2023,0.012017618512808,0.0120261621215603,-0.011700390815689,-0.000217357484822434,1225,0.0427716909213967,8030504487.69539,9633.75047375634,5.31428772274043e-12,18.4489512411428,7584.98924893265,8809.98924893265,407.011365727146,6517.20273587132,6692.34778205634,8535.14865492214,7655.31319201305,7742.20273587132,7917.34778205634,9760.14865492214,8880.31319201305,1.04724825979233,1.04480676999795,1.04541159786743,1.04896341879403,1.04742406338732,0,0,8809.98924893265,1.04724825979233,0,0.144444444444444,7537.43524630905,1.04451963808217,0.0146844269236827
