year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy
2010,0.0275398032442065,0,0.3,0,139.65,58.974936057092,58.974936057092,0.00175719239646387,139.65,58.974936057092,58.8713057478706
2011,0.0279399323841458,0,0,0,138.65948593256,60.2396580929703,60.2396580929703,0,138.636687264532,60.2366865046937,60.2366865046937
2012,0.0283266449493681,0,0,0,138.046262119758,61.5307528770637,61.5307528770637,0,138.025089569111,61.5279215807272,61.5279215807272
2013,0.0287008411431051,0,0,0,137.778401540736,62.8485204262745,62.8485204262745,0,137.75872335996,62.8458273923283,62.8458273923283
2014,0.0290635014860593,0,0,0,137.827235880443,64.1932524454341,64.1932524454341,0,137.808933050276,64.1906949549593,64.1906949549593
2015,0.0294156578027066,0,0,0,138.167027830394,65.5652297391658,65.5652297391658,0,138.14999263534,65.5628044904725,65.5628044904725
2016,0.0297583684758891,0,0,0,138.774675589971,66.9647219833423,66.9647219833423,0,138.75881035971,66.9624251955982,66.9624251955982
2017,0.030092697257786,0,0,0,139.629446867309,68.3919876102145,68.3919876102145,0,139.61466286677,68.3898151215103,68.3898151215103
2018,0.0304196957294602,0,0,0,140.712739454826,69.8472737627827,69.8472737627827,0,140.698955906825,69.8452211207906,69.8452211207906
2019,0.0307403893276295,0,0,0,142.007865737155,71.3308163577138,71.3308163577138,0,141.995008962717,71.3288789017709,71.3288789017709
2020,0.0310557666961162,0,0,0,143.499858762137,72.8428402636959,72.8428402636959,0,143.487861424835,72.8410131977198,72.8410131977198
2021,0.031366772031312,0,0,0,145.175297743936,74.3835596196385,74.3835596196385,0,145.16409818585,74.3818380757452,74.3818380757452
2022,0.0316928704507526,0,0,0,147.022151085863,76.0313098057329,76.0313098057329,0,147.011692743929,76.0296872313906,76.0296872313906
2023,0.0320347276365804,0,0,0,149.046824134538,77.7925189419993,77.7925189419993,0,149.037054660442,77.7909892023912,77.7909892023912
2024,0.0323930478183561,0,0,0,151.256495888324,79.6741895210295,79.6741895210295,0,151.247366818924,79.6727468724348,79.6727468724348
2025,0.03276857845782,0,0,0,153.659167994118,81.6839557153619,81.6839557153619,0,153.650634448967,81.6825947800867,81.6825947800867
2026,0.0331621134747346,0,0,0,156.263721452086,83.8301428401947,83.8301428401947,0,156.255741855689,83.8288585830642,83.8288585830642
2027,0.0335744975928923,0,0,0,159.07998073172,86.1218357392343,86.1218357392343,0,159.072516558394,86.1206234455256,86.1206234455256
2028,0.0340066292751762,0,0,0,162.11878652118,88.5689505770707,88.5689505770707,0,162.111802060571,88.5678058318727,88.5678058318727
2029,0.0344594647220399,0,0,0,165.392076996017,91.1823168327536,91.1823168327536,0,165.385539137526,91.1812355016346,91.1812355016346
