year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy,damages_bau,net.output_bau,consumption.per.capita_bau,damages_0.1reduction,abatement.cost_0.1reduction,net.output_0.1reduction,consumption.per.capita_0.1reduction,percent.change.consumption.per.capita_0.1reduction,damages_0.2reduction,abatement.cost_0.2reduction,net.output_0.2reduction,consumption.per.capita_0.2reduction,percent.change.consumption.per.capita_0.2reduction,damages_0.3reduction,abatement.cost_0.3reduction,net.output_0.3reduction,consumption.per.capita_0.3reduction,percent.change.consumption.per.capita_0.3reduction,damages_0.4reduction,abatement.cost_0.4reduction,net.output_0.4reduction,consumption.per.capita_0.4reduction,percent.change.consumption.per.capita_0.4reduction,temp.increase_0.1reduction,temp.increase_0.2reduction,temp.increase_0.3reduction,temp.increase_0.4reduction,temp.increase_bau,capital.stock_bau,population,population.millions,gross.output_bau,kaya.emissions_bau,total.emissions_bau,temp.increase_additional.ton.carbon,capital.stock_additional.ton.carbon,gross.output_additional.ton.carbon,kaya.emissions_additional.ton.carbon,total.emissions_additional.ton.carbon,damages_additional.ton.carbon,land.use.emissions_additional.ton.carbon,net.output_additional.ton.carbon,damages_bau_dollars,damages_additional.ton.carbon_dollars,marginal.damages_additional.ton.carbon_dollars,marginal.damages_additional.ton.CO2_dollars,discount.factor_0.03discount.rate,discount.factor_0.025discount.rate,discount.factor_0.05discount.rate,net.present.value_marginal.damages_additional.ton.carbon_0.03discount.rate,net.present.value_marginal.damages_additional.ton.CO2_0.03discount.rate,net.present.value_marginal.damages_additional.ton.carbon_0.025discount.rate,net.present.value_marginal.damages_additional.ton.CO2_0.025discount.rate,net.present.value_marginal.damages_additional.ton.carbon_0.05discount.rate,net.present.value_marginal.damages_additional.ton.CO2_0.05discount.rate
2010,0.0275398032442065,0,0.3,0,139.65,58.974936057092,58.974936057092,0.00175719239646387,139.65,58.974936057092,58.8713057478706,0.00192,58.974936057092,6653.93177685401,0.00192,8.10736642641546e-05,58.8569228656965,6653.39128047004,-8.12296251445113e-05,0.00192,0.000564629792749125,58.8284051739391,6650.16754140181,-0.000565715967406726,0.00192,0.00175719239646387,58.7580738706409,6642.21704624637,-0.00176057269604029,0.00192,0.0039323102730522,58.6297964329525,6627.71611850767,-0.0039398748327312,0.8,0.8,0.8,0.8,0.8,139.65,6.9e+09,6900,58.974936057092,6566.71759011066,7676.71759011066,0.8,139.65,58.974936057092,6566.71759011066,7676.71759011066,0.00192,1110,58.974936057092,113231877229.617,113231877229.617,0,0,1,1,1,0,0,0,0,0,0
2011,0.0279399323841458,0,0,0,138.65948593256,60.2396580929703,60.2396580929703,0,138.636687264532,60.2366865046937,60.2366865046937,0.00201264806982749,60.2396580929702,6709.85607391459,0.00201228835084602,7.86791075727028e-05,60.1136989281916,6709.32909875571,-7.85374757775267e-05,0.00201198839570376,0.000547953131336422,60.0854480906434,6706.1760043728,-0.000548457299418498,0.00201168818033109,0.00170529272165194,60.0157484342967,6698.39678032175,-0.00170783001402801,0.00201138770425828,0.00381616725715838,59.8886081745766,6684.2065731082,-0.00382266035572717,0.81900108889753,0.818940045771313,0.818878945129882,0.818817786864753,0.819074288414974,138.65948593256,6988580299.73299,6988.58029973299,60.2396580929702,6655.8171202779,7778.8171202779,0.819074288415054,138.65948593256,60.2396580929702,6655.8171202779,7778.8171212779,0.00201264806982788,1123,60.2396580929702,121241231587.884,121241231587.908,0.0236968994140625,0.00646279074928977,0.970873786407767,0.975609756097561,0.952380952380952,0.0230066984602549,0.00627455412552405,0.023118926257622,0.00630516170662417,0.0225684756324405,0.0061550388088474
2012,0.0283266449493681,0,0,0,138.046262119758,61.5307528770637,61.5307528770637,0,138.025089569111,61.5279215807272,61.5279215807272,0.00210742843742962,61.5307528770637,6767.50049721747,0.00210603925770934,7.78553670949447e-05,61.3963761965953,6766.98043026798,-7.68477150013391e-05,0.00210492867796032,0.000542216269441045,61.3678720554754,6763.83876333112,-0.000541076264102891,0.00210387750295853,0.00168743895227672,61.2974703211779,6756.07923112807,-0.00168766387148342,0.00210288610255137,0.0037762134303218,61.1690074565668,6741.92032233424,-0.00377985563410683,0.837862211764626,0.837641267281788,0.837432087387496,0.837234754524553,0.838138500374415,138.046262119758,7076889600.43998,7076.88960043998,61.5307528770637,6744.06748676311,7880.06748676311,0.838138500374568,138.046262119758,61.5307528770637,6744.06748676311,7880.06748676311,0.00210742843743039,1136,61.5307528770637,129671658389.578,129671658389.626,0.0475311279296875,0.0129630348899148,0.942595909133754,0.951814396192742,0.90702947845805,0.0448026467430366,0.0122189036571918,0.0452408118307555,0.0123384032265697,0.0431121341765873,0.0117578547754329
2013,0.0287008411431051,0,0,0,137.778401540736,62.8485204262745,62.8485204262745,0,137.75872335996,62.8458273923283,62.8458273923283,0.00220434519004985,62.8485204262745,6826.8882507223,0.00220097007789506,7.70167853507499e-05,62.705352322369,6826.38084940804,-7.43239519430935e-05,0.00219839380435889,0.000536376046962816,62.6766441874125,6823.25555538718,-0.000532115833995504,0.0021960819395873,0.00166926351296376,62.6055891836452,6815.52019470412,-0.00166518853109715,0.00219401792857374,0.00373553975857622,62.4758564988549,6801.39692320981,-0.00373395997946758,0.856537618923819,0.856036176096722,0.855585947287452,0.855183786986506,0.857194102882547,137.778401540736,7164876365.73766,7164.87636573766,62.8485204262745,6831.25532102245,7980.25532102245,0.85719410288277,137.778401540736,62.8485204262745,6831.25532102245,7980.25532102245,0.00220434519005099,1149,62.8485204262745,138539833703.408,138539833703.48,0.071868896484375,0.0196006081321023,0.91514165935316,0.928599410919749,0.863837598531476,0.0657702211845914,0.0179373330503431,0.066737414938843,0.018201113165139,0.0620830549481697,0.0169317422585917
2014,0.0290635014860593,0,0,0,137.827235880443,64.1932524454341,64.1932524454341,0,137.808933050276,64.1906949549593,64.1906949549593,0.00230340226317076,64.1932524454341,6888.04323059761,0.00229681776531468,7.61627364397117e-05,64.0409231090369,6887.55598551289,-7.07378087517339e-05,0.00229202651726779,0.000530428104878122,64.0120699033589,6884.45284364952,-0.000521249189050063,0.00228794028905554,0.00165075283793377,63.9404149232282,6876.74640121659,-0.00164006365854882,0.00228447172598209,0.00369411588391796,63.8094674617246,6862.66309434841,-0.00368466564444012,0.874989098087261,0.874075991598708,0.873296492045235,0.872634273523201,0.876242406181219,137.827235880443,7252488419.71178,7252.48841971178,64.1932524454341,6917.16647896362,8079.16647896362,0.876242406181506,137.827235880443,64.1932524454341,6917.16647896362,8079.16647896362,0.00230340226317227,1162,64.1932524454341,147862882963.105,147862882963.202,0.096954345703125,0.0264420942826705,0.888487047915689,0.905950644799755,0.822702474791882,0.0861426803963667,0.0234934582899182,0.0878358520058845,0.0239552323652412,0.0797645801517886,0.0217539764050333
2015,0.0294156578027066,0,0,0,138.167027830394,65.5652297391658,65.5652297391658,0,138.14999263534,65.5628044904725,65.5628044904725,0.00240460329297026,65.5652297391658,6950.9898232145,0.00239333652740583,7.52927282186163e-05,65.40337349488,6950.53190109222,-6.5878692665926e-05,0.002385525249861,0.000524369015702547,65.3744418531275,6947.45728447527,-0.000508206576196713,0.00237917887102046,0.00163189626046382,65.302242676669,6939.78455060251,-0.00161203985288189,0.00237403546743852,0.00365191793595909,65.1701367198745,6925.74541748201,-0.00363177135552465,0.893184663140053,0.891725901433282,0.890538951238792,0.889575829152771,0.895284553083591,138.167027830394,7339672999.41316,7339.67299941316,65.5652297391658,7001.58639243196,8176.58639243196,0.89528455308394,138.167027830394,65.5652297391658,7001.58639243196,8176.58639243196,0.00240460329297213,1175,65.5652297391658,157658367335.149,157658367335.272,0.122833251953125,0.0334999778053977,0.862608784384164,0.883854287609517,0.783526166468459,0.105957042149239,0.0288973751316106,0.10856669639979,0.0296090990181244,0.0962430670176864,0.0262481091866417
2016,0.0297583684758891,0,0,0,138.774675589971,66.9647219833423,66.9647219833423,0,138.75881035971,66.9624251955982,66.9624251955982,0.00250795147173897,66.9647219833422,7015.75296621431,0.00249029629501818,7.44064004533725e-05,66.7929773803701,7015.33516215258,-5.95522766750818e-05,0.00247863377166042,0.000518196270620163,66.7640400927297,7012.29584904747,-0.000492764951030351,0.00246958638133695,0.00161268597283223,66.6913537500851,7004.66152766577,-0.00158093345104335,0.00246255768095259,0.00360892844229067,66.5581466030736,6990.67064390926,-0.00357514331331761,0.911097560641043,0.908961636825306,0.907301196100638,0.906009139201989,0.914321510144538,138.774675589971,7426376809.15915,7426.37680915915,66.9647219833422,7084.30098232817,8272.30098232817,0.914321510144945,138.774675589971,66.9647219833422,7084.30098232817,8272.30098232817,0.0025079514717412,1188,66.9647219833422,167944273052.714,167944273052.863,0.149627685546875,0.0408075506036932,0.837484256683654,0.862296865960505,0.746215396636627,0.12531083100952,0.0341756811844146,0.129023484307994,0.0351882229930893,0.111654482718182,0.0304512225595041
2017,0.030092697257786,0,0,0,139.629446867309,68.3919876102145,68.3919876102145,0,139.61466286677,68.3898151215103,68.3898151215103,0.00261344940543845,68.3919876102145,7082.35821760478,0.00258748167436271,7.35035224106762e-05,68.2099975436058,7081.9929135852,-5.15794327767618e-05,0.00257113334889875,0.000511908262710908,68.1811322665115,7078.99593813889,-0.000474740102460634,0.00255899670619754,0.00159311697412026,68.108016302834,7071.40457682411,-0.00154660925699071,0.00254992462078713,0.00356513621167137,67.9737664455253,7057.4659084126,-0.00351469220101085,0.928705492314025,0.925766952117495,0.923579396730919,0.921940818922619,0.933354060264815,139.629446867309,7512546077.52475,7512.54607752475,68.3919876102145,7165.09759980078,8366.09759980078,0.933354060265278,139.629446867309,68.3919876102145,7165.09759980078,8366.09759980078,0.00261344940544104,1201,68.3919876102145,178738999356.669,178738999356.846,0.177459716796875,0.0483981045809659,0.813091511343354,0.841265235083419,0.710681330130121,0.144290989332935,0.0393520879998913,0.14929069036896,0.0407156428278982,0.126117307577718,0.0343956293393776
2018,0.0304196957294602,0,0,0,140.712739454826,69.8472737627827,69.8472737627827,0,140.698955906825,69.8452211207906,69.8452211207906,0.0027210989731701,69.8472737627828,7150.83182895721,0.00268469117885562,7.25839898558545e-05,69.6546856092344,7150.53295687939,-4.17954281368335e-05,0.00266283664886101,0.000505504266042354,69.6259737875256,7147.5854907386,-0.000453980501327268,0.00264727703506869,0.00157318700514329,69.55248585556,7140.04144865648,-0.00150896854503558,0.00263604683332579,0.00352053618841412,69.4172532230199,7126.15888803093,-0.00345035955486576,0.945989989174589,0.942131740409484,0.939375153150343,0.93738054053584,0.952382796493459,140.712739454826,7598126615.57379,7598.12661557379,69.8472737627828,7243.76597916529,8457.76597916529,0.952382796493976,140.712739454826,69.8472737627828,7243.76597916529,8457.76597916529,0.00272109897317306,1214,69.8472737627828,190061344914.639,190061344914.846,0.206207275390625,0.0562383478338068,0.789409234313936,0.820746570813092,0.676839362028687,0.162781927376076,0.0443950711025662,0.169243914153566,0.0461574311327908,0.139569200721064,0.0380643274693812
2019,0.0307403893276295,0,0,0,142.007865737155,71.3308163577138,71.3308163577138,0,141.995008962717,71.3288789017709,71.3288789017709,0.00283090118869489,71.3308163577137,7221.20082580085,0.00278173661812079,7.16478215032713e-05,71.127282116253,7220.98383399366,-3.00492691484523e-05,0.00275358289187197,0.000498984410948904,71.0988080767452,7218.09309259518,-0.00043036238440605,0.00273431954841882,0.00155289647151686,71.0250057391099,7210.60053177859,-0.00146794062067743,0.00272085122301433,0.00347512928022042,70.8888520102816,7196.77793311384,-0.00338210960699924,0.962935895775828,0.958050606156754,0.954693589311744,0.952339439313233,0.971408116892669,142.007865737155,7683063876.90579,7683.06387690579,71.3308163577137,7320.09920164955,8547.09920164955,0.971408116893237,142.007865737155,71.3308163577137,7320.09920164955,8547.09920164955,0.0028309011886982,1227,71.3308163577137,201930492817.628,201930492817.864,0.236114501953125,0.0643948641690341,0.766416732343627,0.80072836176887,0.644608916217797,0.180962105045857,0.0493533013761428,0.189063578338799,0.0515627940923996,0.152201513207309,0.0415095036019933
