Year,Rich...Population..million.,Middle...Population..million.,Poor...Population..million.,Rich...Output...trill.,Middle...Output...trill.,Poor...Output...trill.,Rich...emission.intensity.of.GDP..Mt.C..trill.,Middle...emission.intensity.of.GDP..Mt.C..trill.,Poor...emission.intensity.of.GDP..Mt.C..trill.,Rich.consumption.trillions,Middle.consumption.trillions,Poor.consumption.trillions,Rich.per.capita.consumption.dollars,Middle.per.capita.consumption.dollars,Poor.per.capita.consumption.dollars,Rich.emissions.MtC,Middle.emissions.MtC,Poor.emissions.MtC,Global.emissions.MtC,atmospheric.carbon,temp.increase,Rich.damages,Middle.damages,Poor.damages,Rich.damages.trillions,Middle.damages.trillions,Poor.damages.trillions,extra.ton.emissions,temp.increase_extra.ton.emissions,Rich.damages_extra.ton.emissions,Middle.damages_extra.ton.emissions,Poor.damages_extra.ton.emissions,Rich.damages_extra.ton.emissions_trillions,Middle.damages_extra.ton.emissions_trillions,Poor.damages_extra.ton.emissions_trillions,Rich.marginal.damages,Middle.marginal.damages,Poor.marginal.damages,Rich_conversion.factor,Middle_conversion.factor,Poor_conversion.factor,Rich_utility.loss,Middle_utility.loss,Poor_utility.loss
2010,1077.98737389742,2542.46100924272,3196.63393854164,36.1103222112958,8.06031730930095,3.05026216038682,87.4037292682348,457.581116729192,404.656721786691,28.1660513248107,6.28704750125474,2.37920448510172,26128.3684826266,2472.81963357517,744.284309947341,3156.17682634483,3688.24899558157,1234.30908641212,8078.73490833851,379.329,0.8,0.042848,0.039312,0.03448,1.5472550861096,0.316867194063239,0.105173039290137,8078.73490833851,0.8,0.042848,0.039312,0.03448,1.5472550861096,0.316867194063239,0.105173039290137,0,0,0,3.78936407973323e-05,0.000400392732432943,0.00133026989373327,0,0,0
2011,1082.19430356556,2562.00831414896,3246.80661958944,37.1913547703523,8.38784568596162,3.19044263099796,85.8759248171595,451.78427322971,406.214740037054,29.0092567208748,6.54251963505006,2.48854525217841,26805.9595446921,2553.66838542963,766.459337973473,3193.84198610708,3789.49676719513,1296.00482395397,8279.34357725617,381.610478426443,0.819114277211632,0.0438514068768836,0.0402246590606632,0.0352803401817774,1.63089323033724,0.33739823297126,0.112559901352053,8279.34357825617,0.819114277211712,0.0438514068768878,0.040224659060667,0.0352803401817807,1.6308932303374,0.337398232971292,0.112559901352064,0.155653268052447,0.031863400806742,0.0106303854607859,3.65700786712196e-05,0.000383877583714534,0.00127899289739079,5.69225225811042e-06,1.22316453106198e-05,1.35961875008715e-05
2012,1086.20648372739,2580.72102582146,3295.2187763382,38.2898022727106,8.72342007754816,3.33404165883953,84.6430123155658,446.683307422655,406.565156539092,29.8660457727142,6.80426766048757,2.60055249389483,27495.7351296845,2636.57620967447,789.189632132616,3240.96420532962,3896.6061322764,1355.50516893395,8493.07550653997,383.950581413939,0.838264011770098,0.0448557225231898,0.0411377654535608,0.036081065891272,1.71751674621251,0.35886200910306,0.120295776776835,8493.07550653997,0.838264011770251,0.0448557225231978,0.0411377654535681,0.0360810658912784,1.71751674621281,0.358862009103123,0.120295776776856,0.307753822426093,0.063726801613484,0.0213440376484186,3.52996616875244e-05,0.000368125201299408,0.00122985668894919,1.08636058146836e-05,2.34594416721312e-05,2.62501074710909e-05
2013,1090.03218608669,2598.62794430679,3341.89609139944,39.4054763245412,9.06701906752712,3.48100186183863,83.4274465864628,441.636552276479,406.909465132926,30.7362715331422,7.07227487267115,2.71518145223413,28197.5816177393,2721.54191528859,812.467347270852,3287.49827127979,4004.32704040777,1416.45260572748,8708.27791741503,386.350744864936,0.857456339352862,0.0458613153426009,0.0420516518016956,0.0368824687724872,1.80718697594518,0.381283128706986,0.128387942466233,8708.27791741503,0.857456339353084,0.0458613153426126,0.0420516518017062,0.0368824687724964,1.80718697594564,0.381283128707081,0.128387942466265,0.458300064565265,0.0957567358739198,0.0322519788653608,3.40802398414997e-05,0.000353101430877986,0.00118279257340105,1.5618976119759e-05,3.38118404532864e-05,3.81474010794364e-05
2014,1093.67940402368,2615.75755552453,3386.86767294852,40.5381940888629,9.41862166644145,3.63126636524547,82.2289542155732,436.643104231173,407.247063628713,31.619791389313,7.34652489982433,2.83238776489147,28911.3896384835,2808.56491623558,836.28533453321,3333.41330571512,4112.57620201398,1478.82256449993,8924.81207222903,388.811686136499,0.876698249513612,0.0468685446565329,0.042966641905247,0.0376848327224027,1.89996615994907,0.404686544382991,0.136843665544763,8924.81207222903,0.876698249513898,0.0468685446565479,0.0429666419052606,0.0376848327224146,1.89996615994967,0.404686544383119,0.136843665544806,0.607736083679811,0.128341781646668,0.0433542091116124,3.29097182634302e-05,0.000338772902170277,0.00113772853393134,2.0000423292423e-05,4.34787178381458e-05,4.93253207723075e-05
2015,1097.15585438088,2632.13795525084,3430.16559484826,39.319348839212,9.27131718029168,3.61253387792554,85.929213638338,455.304578986634,427.010720837303,30.6690920945854,7.23162740062751,2.81777642478192,27953.2684186347,2747.43479391009,821.469502526036,3378.68072652499,4221.27316542425,1542.59069526216,9142.5445872114,391.333675211642,0.895996510152848,0.0478777567842776,0.0438830471941685,0.038488430780462,1.88252222063996,0.406853649374845,0.139040760102611,9142.5445872114,0.895996510153196,0.0478777567842958,0.043883047194185,0.0384884307804765,1.88252222064068,0.406853649374998,0.139040760102664,0.714983627858601,0.153044243944578,0.0522915044598449,3.37007186832651e-05,0.000342881744579462,0.00114678053458759,2.4095462105603e-05,5.24760773615616e-05,5.99668794388501e-05
2016,1100.46898019769,2647.79678347947,3471.8244677515,40.3071512368636,9.59478228015377,3.75339624834167,80.1045421429025,427.926414601434,408.847080406358,31.4395779647536,7.48393017851994,2.9276490737065,28569.254136637,2826.47453354985,843.259531379065,3228.78589491368,4105.86078002758,1534.56509774267,8869.21177268393,393.685396256044,0.915319533318133,0.0488872937166742,0.0447993596908404,0.0392919405538827,1.97050754139896,0.429840102523911,0.147478222265007,8869.21177268393,0.915319533318539,0.0488872937166954,0.0447993596908596,0.0392919405538996,1.97050754139981,0.429840102524095,0.147478222265071,0.854649684356446,0.184630088995164,0.0633659791304808,3.26476165687162e-05,0.00032999344010919,0.00110608658425926,2.79022751954436e-05,6.092671821518e-05,7.00882594146771e-05
2017,1103.62595426442,2662.7611683011,3511.88104103722,41.3082895621189,9.92498638585105,3.89694865969276,78.9456120769601,423.03340292053,409.123010614782,32.2204658584528,7.74148938096382,3.03961995456035,29195.0961591222,2907.31646274647,865.52474843015,3261.10820333378,4198.6007647465,1594.33136786474,9054.04033594502,396.095071966734,0.934674118730742,0.0498975064620059,0.0457158962919198,0.0400956398974343,2.06118064536024,0.453729648314283,0.15625065015783,9054.04033594502,0.934674118731204,0.04989750646203,0.0457158962919417,0.0400956398974534,2.06118064536124,0.4537296483145,0.156250650157905,0.99475983006414,0.216826556709293,0.0746624984060418,3.16314499342303e-05,0.000317641107982418,0.0010669633931985,3.14656957612573e-05,6.88730277131524e-05,7.96621526439881e-05
2018,1106.63368337873,2677.05767848127,3550.37383510496,42.3225319803968,10.2618789310222,4.0431305553756,77.8034488146298,418.195316762655,409.394384747142,33.0115749447095,8.00426556619731,3.15364183319297,29830.625473029,2989.94886458264,888.256273750884,3292.83895064234,4291.46971013884,1655.23494617036,9239.54360695154,398.559493708402,0.954066296275446,0.050908704529644,0.0466329357158392,0.0408997731784691,2.15458527553643,0.478541540514082,0.1653631226458,9239.54360695154,0.954066296275961,0.0509087045296708,0.0466329357158635,0.0408997731784905,2.15458527553756,0.478541540514332,0.165363122645886,1.13598019879646,0.249689158238198,0.0862920845889903,3.06510443459056e-05,0.000305804502234369,0.00102936489306052,3.48189794493809e-05,7.63560687483507e-05,8.88260424249151e-05
2019,1109.49881319807,2690.7122839594,3587.3428032836,43.349427062692,10.6053613818379,4.19186612557129,76.6781685476096,413.413088638987,409.662405610856,33.8125531088998,8.27218187783354,3.26965557794561,30475.5198533625,3074.3464944758,911.442189174894,3323.95467475541,4384.39520499823,1717.24996100019,9425.59984075383,401.076523718346,0.973501523526098,0.051921166403325,0.047550728070345,0.0417045596677447,2.25075281601083,0.50429265515551,0.174819930953086,9425.59984075383,0.973501523526663,0.0519211664033545,0.0475507280703717,0.0417045596677681,2.25075281601211,0.504292655155794,0.174819930953184,1.27675647831893,0.283106871279415,0.0981437153768638,2.97053818621932e-05,0.000294464841981757,0.000993246708836813,3.79265387334928e-05,8.33650201152424e-05,9.74809222910869e-05
